Experimental_side,millis_since_start,datetime,MouseRFID,BottleLicked,BoutDuration,BoutLickNumber,BoutLickDuration,LickFrequency,Inter-Lick-Interval
RIGHT, 493347, "2023/10/13 15:53:50", 16000089249, LEFT, 1631.00, 8.00, 218.00, 4.90, 176.63
RIGHT, 703376, "2023/10/13 15:57:20", 16000218931, LEFT, 5007.00, 31.00, 1061.00, 6.19, 127.29
RIGHT, 750566, "2023/10/13 15:58:07", 16000217412, RIGHT, 6627.00, 43.00, 1800.00, 6.49, 112.26
RIGHT, 774042, "2023/10/13 15:58:31", 16000218931, RIGHT, 2551.00, 17.00, 616.00, 6.66, 113.82
RIGHT, 867142, "2023/10/13 16:00:04", 16000015862, LEFT, 4469.00, 36.00, 1219.00, 8.06, 90.28
RIGHT, 880125, "2023/10/13 16:00:17", 16000015862, RIGHT, 2249.00, 20.00, 692.00, 8.89, 77.85
RIGHT, 928638, "2023/10/13 16:01:06", 16000218931, LEFT, 400.00, 5.00, 136.00, 12.50, 52.80
RIGHT, 973518, "2023/10/13 16:01:51", 16000015862, RIGHT, 319.00, 4.00, 126.00, 12.54, 48.25
RIGHT, 1023758, "2023/10/13 16:02:41", 16000089249, RIGHT, 1510.00, 15.00, 559.00, 9.93, 63.40
RIGHT, 1151496, "2023/10/13 16:04:49", 16000015862, RIGHT, 3809.00, 35.00, 1309.00, 9.19, 71.43
RIGHT, 1162999, "2023/10/13 16:05:00", 16000089249, RIGHT, 5683.00, 47.00, 2090.00, 8.27, 76.45
RIGHT, 1634540, "2023/10/13 16:12:52", 16000015862, RIGHT, 8103.00, 65.00, 2658.00, 8.02, 83.77
RIGHT, 3393641, "2023/10/13 16:42:13", 16000015862, LEFT, 6308.00, 38.00, 1260.00, 6.02, 132.84
RIGHT, 3403915, "2023/10/13 16:42:23", 16000015862, LEFT, 9218.00, 62.00, 2613.00, 6.73, 106.53
RIGHT, 4260030, "2023/10/13 16:56:40", 16000015862, LEFT, 5329.00, 42.00, 1606.00, 7.88, 88.64
RIGHT, 8468754, "2023/10/13 18:06:53", 16000218931, LEFT, 484.00, 5.00, 182.00, 10.33, 60.40
RIGHT, 9107810, "2023/10/13 18:17:32", 16000217412, LEFT, 2090.00, 14.00, 450.00, 6.70, 117.14
RIGHT, 9522081, "2023/10/13 18:24:27", 16000213436, RIGHT, 4805.00, 34.00, 1296.00, 7.08, 103.21
RIGHT, 9567137, "2023/10/13 18:25:12", 16000217412, LEFT, 455.00, 4.00, 138.00, 8.79, 79.25
RIGHT, 9593078, "2023/10/13 18:25:38", 16000218931, RIGHT, 435.00, 5.00, 177.00, 11.49, 51.60
RIGHT, 9705059, "2023/10/13 18:27:30", 16000217412, RIGHT, 11113.00, 69.00, 2792.00, 6.21, 120.59
RIGHT, 9738129, "2023/10/13 18:28:03", 16000218931, RIGHT, 4204.00, 35.00, 1439.00, 8.33, 79.00
RIGHT, 9739729, "2023/10/13 18:28:05", 16000218931, RIGHT, 298.00, 3.00, 152.00, 10.07, 48.67
RIGHT, 9876791, "2023/10/13 18:30:22", 16000089249, RIGHT, 742.00, 6.00, 216.00, 8.09, 87.67
RIGHT, 9878737, "2023/10/13 18:30:24", 16000089249, RIGHT, 858.00, 7.00, 285.00, 8.16, 81.86
RIGHT, 10014333, "2023/10/13 18:32:39", 16000218931, LEFT, 7673.00, 52.00, 2169.00, 6.78, 105.85
RIGHT, 10017481, "2023/10/13 18:32:43", 16000213436, RIGHT, 6980.00, 56.00, 2413.00, 8.02, 81.55
