Experimental_side,millis_since_start,datetime,MouseRFID,BottleLicked,BoutDuration,BoutLickNumber,BoutLickDuration,LickFrequency,Inter-Lick-Interval
RIGHT, 1272326, "2023/10/13 16:06:50", 160001207110, LEFT, 1475.00, 6.00, 284.00, 4.07, 198.50
RIGHT, 2995108, "2023/10/13 16:35:34", 16000025185, RIGHT, 1480.00, 6.00, 253.00, 4.05, 204.50
RIGHT, 9700265, "2023/10/13 18:27:26", 16000025185, RIGHT, 813.00, 5.00, 187.00, 6.15, 125.20
RIGHT, 9867202, "2023/10/13 18:30:13", 1600025167, LEFT, 4688.00, 12.00, 509.00, 2.56, 348.25
RIGHT, 10439645, "2023/10/13 18:39:46", 16000025185, RIGHT, 409.00, 5.00, 147.00, 12.22, 52.40
RIGHT, 10547008, "2023/10/13 18:41:33", 16000025185, LEFT, 2528.00, 10.00, 422.00, 3.96, 210.60
RIGHT, 10713641, "2023/10/13 18:44:20", 1600025167, RIGHT, 1323.00, 14.00, 432.00, 10.58, 63.64
RIGHT, 10910762, "2023/10/13 18:47:37", 1600025167, LEFT, 4911.00, 44.00, 1774.00, 8.96, 71.30
RIGHT, 11046492, "2023/10/13 18:49:53", 16000018020, RIGHT, 198.00, 3.00, 68.00, 15.15, 43.33
RIGHT, 11187682, "2023/10/13 18:52:14", 16000235129, LEFT, 5103.00, 46.00, 1923.00, 9.01, 69.13
RIGHT, 11354653, "2023/10/13 18:55:02", 1600025167, RIGHT, 3045.00, 27.00, 987.00, 8.87, 76.22
RIGHT, 11393424, "2023/10/13 18:55:40", 16000018020, RIGHT, 10090.00, 80.00, 3525.00, 7.93, 82.06
RIGHT, 11486843, "2023/10/13 18:57:14", 16000235129, RIGHT, 6820.00, 56.00, 1842.00, 8.21, 88.89
RIGHT, 11502952, "2023/10/13 18:57:30", 160001207110, RIGHT, 1625.00, 11.00, 317.00, 6.77, 118.91
RIGHT, 11543581, "2023/10/13 18:58:11", 16000025185, LEFT, 1075.00, 11.00, 394.00, 10.23, 61.91
RIGHT, 11748194, "2023/10/13 19:01:35", 16000018020, LEFT, 5097.00, 41.00, 1535.00, 8.04, 86.88
RIGHT, 11754214, "2023/10/13 19:01:41", 160001207110, RIGHT, 4407.00, 35.00, 1328.00, 7.94, 87.97
RIGHT, 11784361, "2023/10/13 19:02:12", 16000025185, LEFT, 1399.00, 13.00, 434.00, 9.29, 74.23
RIGHT, 11809704, "2023/10/13 19:02:37", 16000235129, LEFT, 6951.00, 54.00, 2111.00, 7.77, 89.63
RIGHT, 11868883, "2023/10/13 19:03:36", 160001207110, LEFT, 1065.00, 11.00, 299.00, 10.33, 69.64
RIGHT, 11999991, "2023/10/13 19:05:47", 160001207110, LEFT, 1892.00, 17.00, 475.00, 8.99, 83.35
RIGHT, 12042459, "2023/10/13 19:06:30", 16000235129, LEFT, 5583.00, 50.00, 1802.00, 8.96, 75.62
RIGHT, 12193338, "2023/10/13 19:09:01", 1600025167, LEFT, 3989.00, 37.00, 1403.00, 9.28, 69.89
RIGHT, 12205973, "2023/10/13 19:09:14", 1600025167, LEFT, 3422.00, 31.00, 1340.00, 9.06, 67.16
RIGHT, 12210668, "2023/10/13 19:09:18", 160001207110, LEFT, 2418.00, 23.00, 645.00, 9.51, 77.09
RIGHT, 12215786, "2023/10/13 19:09:23", 160001207110, LEFT, 2125.00, 19.00, 711.00, 8.94, 74.42
RIGHT, 12413462, "2023/10/13 19:12:41", 16000025185, LEFT, 3519.00, 30.00, 1148.00, 8.53, 79.03
RIGHT, 12418333, "2023/10/13 19:12:46", 16000025185, LEFT, 869.00, 8.00, 304.00, 9.21, 70.62
RIGHT, 12529265, "2023/10/13 19:14:37", 1600025167, LEFT, 9802.00, 82.00, 3537.00, 8.37, 76.40
RIGHT, 12716633, "2023/10/13 19:17:45", 16000018020, LEFT, 7476.00, 60.00, 2646.00, 8.03, 80.50
RIGHT, 12730136, "2023/10/13 19:17:58", 16000235129, RIGHT, 5845.00, 50.00, 2080.00, 8.55, 75.30
RIGHT, 12806985, "2023/10/13 19:19:15", 16000025185, RIGHT, 2483.00, 21.00, 840.00, 8.46, 78.24
