Experimental_side,millis_since_start,datetime,MouseRFID,BottleLicked,BoutDuration,BoutLickNumber,BoutLickDuration,LickFrequency,Inter-Lick-Interval
RIGHT, 78387, "2023/10/13 15:46:11", 16000254148, LEFT, 799.00, 6.00, 191.00, 7.51, 101.33
RIGHT, 346289, "2023/10/13 15:50:39", 1600030163, RIGHT, 211.00, 3.00, 79.00, 14.22, 44.00
RIGHT, 502956, "2023/10/13 15:53:15", 16000254148, LEFT, 5985.00, 51.00, 2011.00, 8.52, 77.92
RIGHT, 1271672, "2023/10/13 16:06:04", 1600030163, LEFT, 1612.00, 14.00, 561.00, 8.68, 75.07
RIGHT, 1273853, "2023/10/13 16:06:06", 16000254148, RIGHT, 5072.00, 42.00, 1925.00, 8.28, 74.93
RIGHT, 6921406, "2023/10/13 17:40:15", 16000219597, RIGHT, 7047.00, 48.00, 2249.00, 6.81, 99.96
RIGHT, 7166348, "2023/10/13 17:44:21", 16000015761, RIGHT, 1531.00, 15.00, 578.00, 9.80, 63.53
RIGHT, 7545628, "2023/10/13 17:50:40", 1600037164, LEFT, 6420.00, 33.00, 1508.00, 5.14, 148.85
RIGHT, 7768127, "2023/10/13 17:54:22", 16000015761, RIGHT, 8441.00, 59.00, 2829.00, 6.99, 95.12
RIGHT, 9502907, "2023/10/13 18:23:18", 16000015761, LEFT, 9201.00, 73.00, 3139.00, 7.93, 83.04
RIGHT, 9536990, "2023/10/13 18:23:52", 16000254148, LEFT, 6516.00, 55.00, 2380.00, 8.44, 75.20
RIGHT, 9670446, "2023/10/13 18:26:05", 16000015761, LEFT, 4649.00, 40.00, 1738.00, 8.60, 72.77
RIGHT, 9892932, "2023/10/13 18:29:48", 1600037164, RIGHT, 3054.00, 20.00, 774.00, 6.55, 114.00
RIGHT, 10002611, "2023/10/13 18:31:37", 16000015761, RIGHT, 5147.00, 42.00, 1848.00, 8.16, 78.55
RIGHT, 10019666, "2023/10/13 18:31:55", 16000219597, LEFT, 9761.00, 75.00, 3273.00, 7.68, 86.51
RIGHT, 10076605, "2023/10/13 18:32:51", 16000219597, LEFT, 9923.00, 77.00, 3506.00, 7.76, 83.34
RIGHT, 10103279, "2023/10/13 18:33:18", 16000254148, RIGHT, 4820.00, 40.00, 1770.00, 8.30, 76.25
RIGHT, 10486648, "2023/10/13 18:39:42", 16000219597, RIGHT, 6376.00, 52.00, 2153.00, 8.16, 81.21
RIGHT, 10508857, "2023/10/13 18:40:04", 1600037164, LEFT, 7827.00, 64.00, 2763.00, 8.18, 79.12
RIGHT, 10591984, "2023/10/13 18:41:27", 16000219597, RIGHT, 8711.00, 64.00, 2656.00, 7.35, 94.61
RIGHT, 10661542, "2023/10/13 18:42:37", 1600030163, RIGHT, 515.00, 6.00, 192.00, 11.65, 53.83
RIGHT, 10687100, "2023/10/13 18:43:02", 16000015761, RIGHT, 8640.00, 68.00, 2934.00, 7.87, 83.91
RIGHT, 10701522, "2023/10/13 18:43:17", 1600037164, RIGHT, 6254.00, 51.00, 2213.00, 8.15, 79.24
RIGHT, 10919216, "2023/10/13 18:46:54", 16000015761, RIGHT, 4559.00, 39.00, 1632.00, 8.55, 75.05
RIGHT, 11047219, "2023/10/13 18:49:02", 1600030163, LEFT, 4804.00, 41.00, 1875.00, 8.53, 71.44
RIGHT, 11066880, "2023/10/13 18:49:22", 16000219597, RIGHT, 8313.00, 60.00, 2524.00, 7.22, 96.48
RIGHT, 11072388, "2023/10/13 18:49:27", 1600030163, RIGHT, 2135.00, 16.00, 688.00, 7.49, 90.44
RIGHT, 11112278, "2023/10/13 18:50:07", 1600037164, RIGHT, 12729.00, 101.00, 4670.00, 7.93, 79.79
RIGHT, 11239438, "2023/10/13 18:52:15", 16000254148, LEFT, 2604.00, 24.00, 959.00, 9.22, 68.54
